Frame_No,LH_Hand_X,LH_Hand_Y,LH_Hand_Z,LH_Elbow_X,LH_Elbow_Y,LH_Elbow_Z,LH_Shoulder_X,LH_Shoulder_Y,LH_Shoulder_Z,RH_Hand_X,RH_Hand_Y,RH_Hand_Z,RH_Elbow_X,RH_Elbow_Y,RH_Elbow_Z,RH_Shoulder_X,RH_Shoulder_Y,RH_Shoulder_Z,Torso_X,Torso_Y,Torso_Z
142,       623,       544,      783,      708,      399,      1024,      769,      396,      1240,      1180,      561,      741,      1132,      451,      1010,      1052,      399,      1233,      903,      547,      1278,      
143,       623,       544,      783,      708,      399,      1024,      769,      396,      1240,      1180,      561,      741,      1132,      451,      1010,      1052,      399,      1233,      903,      547,      1278,      
144,       623,       544,      783,      708,      399,      1024,      769,      396,      1240,      1180,      561,      741,      1132,      451,      1010,      1052,      399,      1233,      903,      547,      1278,      
145,       623,       544,      783,      708,      399,      1024,      769,      396,      1240,      1180,      561,      741,      1132,      451,      1010,      1052,      399,      1233,      903,      547,      1278,      
146,       701,       577,      769,      749,      451,      978,      785,      391,      1236,      1058,      573,      795,      1088,      453,      1044,      1050,      397,      1233,      902,      547,      1277,      
147,       718,       583,      770,      749,      451,      978,      787,      390,      1236,      1045,      583,      796,      1085,      458,      1045,      1050,      396,      1233,      902,      546,      1277,      
148,       718,       583,      770,      749,      451,      978,      787,      390,      1236,      1045,      583,      796,      1085,      458,      1045,      1050,      396,      1233,      902,      546,      1277,      
149,       726,       588,      775,      752,      454,      979,      788,      390,      1236,      1036,      592,      799,      1081,      459,      1045,      1050,      396,      1233,      901,      546,      1276,      
150,       731,       597,      782,      756,      454,      979,      789,      390,      1236,      1036,      602,      792,      1076,      460,      1046,      1050,      396,      1233,      901,      546,      1276,      
151,       731,       600,      782,      758,      454,      983,      789,      390,      1236,      1030,      605,      794,      1072,      460,      1046,      1050,      396,      1233,      901,      546,      1276,      
152,       731,       600,      782,      758,      454,      983,      789,      390,      1236,      1030,      605,      794,      1072,      460,      1046,      1050,      396,      1233,      901,      546,      1276,      
153,       736,       617,      795,      759,      480,      990,      791,      389,      1235,      1016,      608,      793,      1067,      459,      1046,      1050,      395,      1233,      901,      545,      1275,      
154,       747,       581,      842,      760,      452,      989,      791,      389,      1235,      1002,      604,      794,      1066,      457,      1045,      1050,      395,      1233,      900,      545,      1275,      
155,       736,       623,      795,      759,      479,      989,      792,      389,      1235,      998,      605,      794,      1064,      455,      1044,      1050,      395,      1233,      900,      544,      1275,      
156,       736,       623,      795,      759,      479,      989,      792,      389,      1235,      998,      605,      794,      1064,      455,      1044,      1050,      395,      1233,      900,      544,      1275,      
157,       739,       623,      794,      759,      479,      989,      792,      389,      1235,      1001,      608,      792,      1062,      454,      1043,      1050,      395,      1233,      900,      544,      1275,      
158,       742,       614,      788,      759,      478,      988,      793,      389,      1235,      1000,      601,      790,      1061,      452,      1042,      1051,      395,      1233,      900,      544,      1274,      
159,       742,       614,      788,      759,      478,      988,      793,      389,      1235,      1000,      601,      790,      1061,      452,      1042,      1051,      395,      1233,      900,      544,      1274,      
160,       742,       609,      785,      760,      478,      988,      793,      389,      1234,      999,      597,      786,      1060,      450,      1042,      1051,      395,      1233,      900,      544,      1274,      
